"","APMC","Commodity","Year","V1"
"4747","Aheri","Gram",2015,0.104299838655073
"4748","Mohol","Maize",2016,0.104249953649019
"4749","Dhule","Soybean",2016,0.104235205154652
"4750","Pusad","Black Gram",2015,0.104226685847715
"4751","Ausa","Paddy-Unhusked",2015,0.104176000001276
"4752","Nashik","Lemon",2015,0.104170336668737
"4753","Chopda","Sesamum",2016,0.10412799464827
"4754","Ahmednagar","Maize",2016,0.104089398948865
"4755","Rahuri-Vambori","Onion",2014,0.104085202379482
"4756","Chandrapur-Ganjwad","Chavli (Shenga )",2015,0.10405152761893
"4757","Aheri","Rice(Paddy-Hus)",2015,0.104015108764352
"4758","Akluj","Bajri",2015,0.104000209893439
"4759","Barshi-Vairag","Maize",2014,0.103964888146993
"4760","Karad","Pomegranate",2016,0.103928159387979
"4761","Malegaon","Horse Gram",2015,0.1038856100333
"4762","Chalisgaon","Maize",2015,0.103875331132303
"4763","Bhiwapur","Green Chilli",2016,0.103833382679973
"4764","Gevrai","Safflower",2015,0.103818627749522
"4765","Chandur Bajar","Soybean",2016,0.103789763452791
"4766","Chandur Bajar","Gram",2014,0.103769727926594
"4767","Nashik","Ghevda",2015,0.103741177545479
"4768","Soygaon","Maize",2015,0.103732498763644
"4769","Dound","Sorgum(Jawar)",2014,0.103702876410227
"4770","Parshiwani","Gram",2016,0.103689792760553
"4771","Basmat","Green Gram",2014,0.103680672795559
"4772","Katol","Maize",2016,0.103679518078114
"4773","Parbhani","Green Gram",2015,0.103656633662268
"4774","Nagpur","Pomegranate",2015,0.103506666064177
"4775","Indapur (Nimgaon Ketki)","Gram",2015,0.103505819280344
"4776","Beed","Soybean",2016,0.103498303420817
"4777","Bhandara","Soybean",2016,0.103487388172678
"4778","Satana","Sorgum(Jawar)",2014,0.103464240456817
"4779","Amarawati","Chillies(Red)",2015,0.103428741849367
"4780","Savner","Soybean",2016,0.103409022939983
"4781","Sakri","Bajri",2016,0.103394873271403
"4782","Mumbai","Pomegranate",2016,0.10338001125607
"4783","Dound","Cowpea",2016,0.103351500017065
"4784","Shahada","Green Gram",2014,0.103346566853274
"4785","Mumbai-Fruit Market","Mosambi",2016,0.103244565101149
"4786","Katol","Maize",2015,0.103183734570977
"4787","Bhusaval","Maize",2016,0.103175803959783
"4788","Ambejogai","Sorgum(Jawar)",2015,0.1031482659438
"4789","Mahagaon","Ground Nut Pods (Dry)",2016,0.103101115166686
"4790","Panvel","Carrot",2016,0.103084016143346
"4791","Shirpur","Green Gram",2015,0.103014272446047
"4792","Rahuri-Vambori","Pigeon Pea (Tur)",2016,0.102992878752856
"4793","Solapur","Sorgum(Jawar)",2015,0.102986825149004
"4794","Paithan","Pigeon Pea (Tur)",2016,0.102931522839017
"4795","Jalgaon Jamod","Pigeon Pea (Tur)",2016,0.102838935866231
"4796","Amarawati","Green Gram",2014,0.102782820786587
"4797","Umared","Pigeon Pea (Tur)",2014,0.102704381550587
"4798","Achalpur","Sesamum",2015,0.102689758120701
"4799","Rahata","Soybean",2016,0.102686361668609
"4800","Manwat","Gram",2016,0.102665503839633
"4801","Achalpur","Green Gram",2015,0.102635253911559
